response,effect,sum_of_squares,contribution_ratio,degrees_of_freedom,analysis_scope,residual_df,significance_test_allowed
R,a,0.0022468853077999996,0.2386583966686917,3,descriptive_unreplicated_factorial,0,False
R,b,0.0029938341893000274,0.3179973917804694,3,descriptive_unreplicated_factorial,0,False
R,N,0.0027025326329249946,0.28705608732215204,4,descriptive_unreplicated_factorial,0,False
R,axb,6.137560490000028e-05,0.0065191593932969,9,descriptive_unreplicated_factorial,0,False
R,axN,0.000558920075074999,0.059367057375060955,12,descriptive_unreplicated_factorial,0,False
R,bxN,0.0005717725265749927,0.06073221182135263,12,descriptive_unreplicated_factorial,0,False
R,axbxNremainder,0.00027932980422499886,0.029669695638978172,36,descriptive_unreplicated_factorial,0,False
P,a,0.0195152806930375,0.31699853808501977,3,descriptive_unreplicated_factorial,0,False
P,b,0.0239432458252375,0.38892466078227755,3,descriptive_unreplicated_factorial,0,False
P,N,0.011161206998825004,0.18129825327872975,4,descriptive_unreplicated_factorial,0,False
P,axb,1.950134512500084e-06,3.1677217420307054e-05,9,descriptive_unreplicated_factorial,0,False
P,axN,0.006924024142775,0.1124711227806289,12,descriptive_unreplicated_factorial,0,False
P,bxN,8.245395074999928e-06,0.00013393495209325487,12,descriptive_unreplicated_factorial,0,False
P,axbxNremainder,8.730382925000098e-06,0.0001418129038305261,36,descriptive_unreplicated_factorial,0,False
U,a,0.0062526414928375665,0.24287111360755548,3,descriptive_unreplicated_factorial,0,False
U,b,0.004289145399437425,0.16660311018621082,3,descriptive_unreplicated_factorial,0,False
U,N,0.012357096642574922,0.47998623077562114,4,descriptive_unreplicated_factorial,0,False
U,axb,0.001607264877612496,0.062430927974235474,9,descriptive_unreplicated_factorial,0,False
U,axN,0.0006242106457249976,0.024246190162443056,12,descriptive_unreplicated_factorial,0,False
U,bxN,0.0005771574126250054,0.022418503234458827,12,descriptive_unreplicated_factorial,0,False
U,axbxNremainder,3.717337707500018e-05,0.0014439240594716453,36,descriptive_unreplicated_factorial,0,False
