response,factor_first,factor_second,level_first,level_second,cell_mean,interaction_effect,sample_count
R,a,b,0.1,3.0,0.7439306,-0.0011121500000000895,5
R,a,b,0.1,3.5,0.7502442,-0.0010775500000000937,5
R,a,b,0.1,4.0,0.7598,1.729999999988685e-05,5
R,a,b,0.1,4.5,0.7615486,0.0021723999999998522,5
R,a,b,0.15,3.0,0.7373794,0.0002210499999999449,5
R,a,b,0.15,3.5,0.7432084,-0.00022895000000011656,5
R,a,b,0.15,4.0,0.7516731999999999,-0.00022510000000020014,5
R,a,b,0.15,4.5,0.7517248000000001,0.0002329999999999277,5
R,a,b,0.2,3.0,0.7309388,0.0008568499999999091,5
R,a,b,0.2,3.5,0.7367474,0.00038644999999992713,5
R,a,b,0.2,4.0,0.7445867999999999,-0.00023510000000026565,5
R,a,b,0.2,4.5,0.7434071999999999,-0.0010082000000002367,5
R,a,b,0.3,3.0,0.736806,3.4249999999902414e-05,5
R,a,b,0.3,3.5,0.7439708,0.0009200499999999501,5
R,a,b,0.3,4.0,0.7519546,0.0004428999999999128,5
R,a,b,0.3,4.5,0.7497079999999998,-0.0013972000000003204,5
R,a,N,0.1,2.0,0.7590394999999999,-0.005918987500000195,4
R,a,N,0.1,4.0,0.7515022499999999,-0.002497612500000246,4
R,a,N,0.1,6.0,0.7515252499999999,0.00046219999999985717,4
R,a,N,0.1,8.0,0.7539035,0.002959574999999881,4
R,a,N,0.1,10.0,0.75343375,0.004994824999999925,4
R,a,N,0.15,2.0,0.7558147499999999,-0.0012593375000001794,4
R,a,N,0.15,4.0,0.745684,-0.00043146250000014597,4
R,a,N,0.15,6.0,0.7433767499999999,0.00019809999999986783,4
R,a,N,0.15,8.0,0.743689,0.0006294749999999905,4
R,a,N,0.15,10.0,0.74141775,0.000863224999999912,4
R,a,N,0.2,2.0,0.7521207499999999,0.002123062499999828,4
R,a,N,0.2,4.0,0.7400344999999999,0.0009954374999997517,4
R,a,N,0.2,6.0,0.73603625,-6.600000000012152e-05,4
R,a,N,0.2,8.0,0.7349217499999999,-0.001061375000000142,4
R,a,N,0.2,10.0,0.731487,-0.0019911250000000935,4
R,a,N,0.3,2.0,0.76174275,0.005055262499999991,4
R,a,N,0.3,4.0,0.7476624999999999,0.0019336374999997519,4
R,a,N,0.3,6.0,0.7421977499999999,-0.0005943000000001586,4
R,a,N,0.3,8.0,0.7401452500000001,-0.0025276749999999515,4
R,a,N,0.3,10.0,0.736301,-0.0038669250000000766,4
R,b,N,3.0,2.0,0.7427039999999999,-0.005637337500000061,4
R,b,N,3.0,4.0,0.738474,0.0010912874999998712,4
R,b,N,3.0,6.0,0.738356,0.0039101000000000274,4
R,b,N,3.0,8.0,0.7371455,0.002818725000000022,4
R,b,N,3.0,10.0,0.7296389999999999,-0.002182775000000081,4
R,b,N,3.5,2.0,0.7548002500000001,0.00017991250000004566,4
R,b,N,3.5,4.0,0.745055,0.0013932874999998957,4
R,b,N,3.5,6.0,0.74202825,0.0013033499999999254,4
R,b,N,3.5,8.0,0.74051575,-9.002499999999358e-05,4
R,b,N,3.5,10.0,0.7353142500000001,-0.002786524999999984,4
R,b,N,4.0,2.0,0.76599,0.0029087124999999103,4
R,b,N,4.0,4.0,0.7522734999999999,0.00015083749999977858,4
R,b,N,4.0,6.0,0.7478824999999999,-0.0013033500000001474,4
R,b,N,4.0,8.0,0.7476125,-0.0014542250000000312,4
R,b,N,4.0,10.0,0.74625975,-0.0003019750000000654,4
R,b,N,4.5,2.0,0.7652235,0.0025487124999998834,4
R,b,N,4.5,4.0,0.7490807500000001,-0.0026354125000001005,4
R,b,N,4.5,6.0,0.74486925,-0.0039101000000000274,4
R,b,N,4.5,8.0,0.7473857500000001,-0.0012744749999999971,4
R,b,N,4.5,10.0,0.7514265,0.005271274999999909,4
P,a,b,0.1,3.0,0.131222,0.00032651250000000076,5
P,a,b,0.1,3.5,0.10827439999999999,-0.00017708750000000606,5
P,a,b,0.1,4.0,0.09449099999999999,-9.453750000001926e-05,5
P,a,b,0.1,4.5,0.084781,-5.48875000000032e-05,5
P,a,b,0.15,3.0,0.13363039999999998,-0.00027763750000002474,5
P,a,b,0.15,3.5,0.11148899999999999,2.496249999998923e-05,5
P,a,b,0.15,4.0,0.0976968,9.871249999998666e-05,5
P,a,b,0.15,4.5,0.08800240000000001,0.00015396250000000722,5
P,a,b,0.2,3.0,0.1381028,-0.00019418749999999818,5
P,a,b,0.2,3.5,0.11588899999999999,3.601250000000167e-05,5
P,a,b,0.2,4.0,0.1020498,6.276249999999373e-05,5
P,a,b,0.2,4.5,0.09233279999999999,9.541250000000279e-05,5
P,a,b,0.3,3.0,0.170066,0.0001453124999999944,5
P,a,b,0.3,3.5,0.14759280000000002,0.00011611250000002904,5
P,a,b,0.3,4.0,0.13354380000000002,-6.693749999998888e-05,5
P,a,b,0.3,4.5,0.1236666,-0.00019448749999999293,5
P,a,N,0.1,2.0,0.101771,0.013846125,4
P,a,N,0.1,4.0,0.1003145,0.005348624999999996,4
P,a,N,0.1,6.0,0.10525700000000002,-0.0008655624999999861,4
P,a,N,0.1,8.0,0.10837425,-0.007159187500000011,4
P,a,N,0.1,10.0,0.10774375,-0.011169999999999985,4
P,a,N,0.15,2.0,0.09969824999999999,0.008760824999999986,4
P,a,N,0.15,4.0,0.10174425000000001,0.0037658250000000004,4
P,a,N,0.15,6.0,0.10828425,-0.0008508625000000075,4
P,a,N,0.15,8.0,0.11424425,-0.0043017375000000135,4
P,a,N,0.15,10.0,0.11455225,-0.007374050000000007,4
P,a,N,0.2,2.0,0.09608549999999999,0.0007591249999999994,4
P,a,N,0.2,4.0,0.10298674999999999,0.0006193749999999915,4
P,a,N,0.2,6.0,0.11352775000000001,3.687500000015831e-06,4
P,a,N,0.2,8.0,0.12263424999999999,-0.0003006875000000214,4
P,a,N,0.2,10.0,0.12523375,-0.0010814999999999853,4
P,a,N,0.3,2.0,0.10358400000000001,-0.023366074999999986,4
P,a,N,0.3,4.0,0.12425725000000001,-0.009733825000000002,4
P,a,N,0.3,6.0,0.1468605,0.0017127375000000056,4
P,a,N,0.3,8.0,0.16632025,0.01176161249999999,4
P,a,N,0.3,10.0,0.1775645,0.01962554999999999,4
P,b,N,3.0,2.0,0.125885,-0.0006030750000000085,4
P,b,N,3.0,4.0,0.13344775,-8.132500000000709e-05,4
P,b,N,3.0,6.0,0.14561475,0.0009289874999999781,4
P,b,N,3.0,8.0,0.15416175,6.511249999996416e-05,4
P,b,N,3.0,10.0,0.15716725,-0.0003096999999999961,4
P,b,N,3.5,2.0,0.104024,-2.0074999999994403e-05,4
P,b,N,3.5,4.0,0.11120074999999999,0.00011567499999998176,4
P,b,N,3.5,6.0,0.1221315,-0.0001102624999999996,4
P,b,N,3.5,8.0,0.1317415,8.886249999999485e-05,4
P,b,N,3.5,10.0,0.13495875000000002,-7.419999999998261e-05,4
P,b,N,4.0,2.0,0.09041725,0.00023912499999999282,4
P,b,N,4.0,4.0,0.09726525,4.612499999998021e-05,4
P,b,N,4.0,6.0,0.108066,-0.00030981250000002014,4
P,b,N,4.0,8.0,0.11774599999999999,-4.0687500000038956e-05,4
P,b,N,4.0,10.0,0.12123225,6.524999999998893e-05,4
P,b,N,4.5,2.0,0.08081250000000001,0.00038402500000001005,4
P,b,N,4.5,4.0,0.087389,-8.04750000000104e-05,4
P,b,N,4.5,6.0,0.09811725000000002,-0.0005089124999999861,4
P,b,N,4.5,8.0,0.10792375000000001,-0.00011328750000000332,4
P,b,N,4.5,10.0,0.111736,0.00031865000000000365,4
U,a,b,0.1,3.0,0.8379044,0.005781412499999972,5
U,a,b,0.1,3.5,0.8100486,-0.002354237500000189,5
U,a,b,0.1,4.0,0.8130237999999999,-0.004079837500000294,5
U,a,b,0.1,4.5,0.8194562,0.0006526624999998454,5
U,a,b,0.15,3.0,0.8280214000000001,0.004925912500000074,5
U,a,b,0.15,3.5,0.8032768000000001,-9.853750000010653e-05,5
U,a,b,0.15,4.0,0.8054767999999999,-0.0025993375000002983,5
U,a,b,0.15,4.5,0.8075479999999999,-0.002228037500000224,5
U,a,b,0.2,3.0,0.8132753999999999,0.0016407624999998927,5
U,a,b,0.2,3.5,0.793051,0.0011365124999997978,5
U,a,b,0.2,4.0,0.7965494,-6.58875000001391e-05,5
U,a,b,0.2,4.5,0.7956038,-0.0027113875000001064,5
U,a,b,0.3,3.0,0.8215844000000001,-0.012348087500000049,5
U,a,b,0.3,3.5,0.8155286,0.0013162624999997208,5
U,a,b,0.3,4.0,0.8256582,0.006745062499999732,5
U,a,b,0.3,4.5,0.8248998000000001,0.004286762499999819,5
U,a,N,0.1,2.0,0.818206,0.004070412499999954,4
U,a,N,0.1,4.0,0.8054935000000001,0.0034225999999999424,4
U,a,N,0.1,6.0,0.81767675,0.0016513499999998293,4
U,a,N,0.1,8.0,0.831842,-0.002199275000000056,4
U,a,N,0.1,10.0,0.8273229999999999,-0.006945087500000113,4
U,a,N,0.15,2.0,0.80545875,0.00035066249999993193,4
U,a,N,0.15,4.0,0.7938409999999999,0.0007975999999997319,4
U,a,N,0.15,6.0,0.8075472499999999,0.000549349999999782,4
U,a,N,0.15,8.0,0.824787,-0.00022677500000001238,4
U,a,N,0.15,10.0,0.82376975,-0.0014708375000000995,4
U,a,N,0.2,2.0,0.791562,-0.0020852375000000034,4
U,a,N,0.2,4.0,0.7803142500000001,-0.0012683,4
U,a,N,0.2,6.0,0.79519325,-0.00034380000000011623,4
U,a,N,0.2,8.0,0.81486275,0.0013098249999999867,4
U,a,N,0.2,10.0,0.81616725,0.002387512500000022,4
U,a,N,0.3,2.0,0.8136092500000001,-0.002335837500000104,4
U,a,N,0.3,4.0,0.8009285,-0.0029519000000002293,4
U,a,N,0.3,6.0,0.815978,-0.0018569000000002722,4
U,a,N,0.3,8.0,0.836967,0.0011162249999998597,4
U,a,N,0.3,10.0,0.842106,0.006028412499999858,4
U,b,N,3.0,2.0,0.82350875,0.004285012500000018,4
U,b,N,3.0,4.0,0.8083009999999999,0.0011419499999998362,4
U,b,N,3.0,6.0,0.8203775,-0.0007360500000000991,4
U,b,N,3.0,8.0,0.836823,-0.002306425000000001,4
U,b,N,3.0,10.0,0.83697175,-0.0023844874999999766,4
U,b,N,3.5,2.0,0.8027315,0.0032279124999998743,4
U,b,N,3.5,4.0,0.7887455,0.0013065999999997135,4
U,b,N,3.5,6.0,0.801013,-0.0003804000000002805,4
U,b,N,3.5,8.0,0.81774375,-0.0016655250000001676,4
U,b,N,3.5,10.0,0.8171475,-0.002488587500000139,4
U,b,N,4.0,2.0,0.8035887500000001,-0.0006156375000000436,4
U,b,N,4.0,4.0,0.792135,-4.700000000190663e-06,4
U,b,N,4.0,6.0,0.80627875,0.000184549999999839,4
U,b,N,4.0,8.0,0.8246849999999999,0.0005749249999997819,4
U,b,N,4.0,10.0,0.82419775,-0.00013913750000016378,4
U,b,N,4.5,2.0,0.799007,-0.006897287500000071,4
U,b,N,4.5,4.0,0.7913957500000001,-0.002443850000000136,4
U,b,N,4.5,6.0,0.808726,0.0009318999999997635,4
U,b,N,4.5,8.0,0.8292069999999999,0.0033970249999998314,4
U,b,N,4.5,10.0,0.8310489999999999,0.005012212499999835,4
