response,degree,alpha,selection_count,selection_share
P,2,1e-08,17,0.34
P,2,0.01,3,0.06
P,2,0.1,21,0.42
P,2,1.0,9,0.18
P,3,1e-08,20,0.4
P,3,1e-07,1,0.02
P,3,1e-06,3,0.06
P,3,1e-05,4,0.08
P,3,0.001,2,0.04
P,3,0.01,19,0.38
P,3,0.1,1,0.02
P,4,1e-08,24,0.48
P,4,1e-06,1,0.02
P,4,1e-05,5,0.1
P,4,0.001,3,0.06
P,4,0.01,13,0.26
P,4,0.1,4,0.08
R,2,1e-08,4,0.08
R,2,0.01,2,0.04
R,2,0.1,4,0.08
R,2,1.0,38,0.76
R,2,10.0,2,0.04
R,3,1e-08,18,0.36
R,3,1e-07,1,0.02
R,3,1e-06,4,0.08
R,3,1e-05,27,0.54
R,4,1e-08,20,0.4
R,4,1e-07,1,0.02
R,4,1e-06,6,0.12
R,4,1e-05,23,0.46
U,2,1e-08,2,0.04
U,2,0.01,1,0.02
U,2,0.1,1,0.02
U,2,1.0,39,0.78
U,2,10.0,7,0.14
U,3,1e-08,18,0.36
U,3,1e-05,1,0.02
U,3,0.0001,3,0.06
U,3,0.001,19,0.38
U,3,0.01,9,0.18
U,4,1e-08,14,0.28
U,4,0.0001,1,0.02
U,4,0.001,13,0.26
U,4,0.01,22,0.44
