method,b,R,P,U,dominated_by_pin_pareto,points,dominated_points,minimum_dominance_margin
discrete_nodes,3.0,0.740827,0.123952,0.8731,True,,,
discrete_nodes,3.5,0.754456,0.102276,0.838862,True,,,
discrete_nodes,4.0,0.767907,0.088704,0.838398,True,,,
discrete_nodes,4.5,0.770128,0.078985,0.844634,True,,,
discrete_nodes_summary,,,,,True,4.0,4.0,0.0029451872431920934
linear,3.0,0.740827,0.123952,0.8731,True,,,
linear,3.00075,0.7408474435,0.12391948600000001,0.873048643,True,,,
linear,3.0015,0.7408678870000001,0.123886972,0.8729972859999999,True,,,
linear,3.00225,0.7408883305,0.123854458,0.872945929,True,,,
linear,3.003,0.740908774,0.123821944,0.872894572,True,,,
linear,3.00375,0.7409292175000001,0.12378943,0.872843215,True,,,
linear,3.0045,0.740949661,0.123756916,0.8727918579999999,True,,,
linear,3.00525,0.7409701045,0.123724402,0.872740501,True,,,
linear,3.006,0.740990548,0.12369188800000001,0.872689144,True,,,
linear,3.00675,0.7410109915,0.12365937400000002,0.872637787,True,,,
linear,3.0075,0.741031435,0.12362686000000002,0.87258643,True,,,
linear,3.00825,0.7410518785,0.12359434600000001,0.872535073,True,,,
linear,3.009,0.7410723220000001,0.12356183200000001,0.872483716,True,,,
linear,3.00975,0.7410927655,0.12352931800000001,0.872432359,True,,,
linear,3.0105,0.741113209,0.12349680400000002,0.872381002,True,,,
linear,3.01125,0.7411336525,0.12346429,0.872329645,True,,,
linear,3.012,0.741154096,0.123431776,0.872278288,True,,,
linear,3.01275,0.7411745395,0.12339926200000001,0.872226931,True,,,
linear,3.0135,0.741194983,0.123366748,0.872175574,True,,,
linear,3.01425,0.7412154265,0.123334234,0.872124217,True,,,
linear,3.015,0.74123587,0.12330172,0.87207286,True,,,
linear,3.01575,0.7412563135,0.123269206,0.872021503,True,,,
linear,3.0165,0.7412767570000001,0.123236692,0.871970146,True,,,
linear,3.01725,0.7412972005,0.123204178,0.871918789,True,,,
linear,3.018,0.741317644,0.12317166400000001,0.871867432,True,,,
linear,3.01875,0.7413380875,0.12313915000000002,0.871816075,True,,,
linear,3.0195,0.741358531,0.12310663600000002,0.871764718,True,,,
linear,3.02025,0.7413789745,0.12307412200000001,0.871713361,True,,,
linear,3.021,0.741399418,0.12304160800000001,0.871662004,True,,,
linear,3.02175,0.7414198615,0.12300909400000001,0.871610647,True,,,
linear,3.0225,0.741440305,0.12297658,0.87155929,True,,,
linear,3.02325,0.7414607485,0.122944066,0.871507933,True,,,
linear,3.024,0.7414811920000001,0.12291155200000001,0.871456576,True,,,
linear,3.02475,0.7415016355,0.12287903800000001,0.871405219,True,,,
linear,3.0255,0.741522079,0.122846524,0.871353862,True,,,
linear,3.02625,0.7415425225,0.12281401,0.871302505,True,,,
linear,3.027,0.741562966,0.122781496,0.871251148,True,,,
linear,3.02775,0.7415834095,0.122748982,0.871199791,True,,,
linear,3.0285,0.741603853,0.122716468,0.871148434,True,,,
linear,3.02925,0.7416242965000001,0.122683954,0.8710970769999999,True,,,
linear,3.03,0.74164474,0.12265144000000001,0.87104572,True,,,
linear,3.03075,0.7416651835,0.12261892600000002,0.870994363,True,,,
linear,3.0315,0.741685627,0.122586412,0.870943006,True,,,
linear,3.03225,0.7417060705,0.12255389800000001,0.870891649,True,,,
linear,3.033,0.741726514,0.12252138400000001,0.870840292,True,,,
linear,3.03375,0.7417469575,0.12248887000000001,0.870788935,True,,,
linear,3.0345,0.741767401,0.122456356,0.870737578,True,,,
linear,3.03525,0.7417878445,0.122423842,0.870686221,True,,,
linear,3.036,0.741808288,0.12239132800000001,0.870634864,True,,,
linear,3.03675,0.7418287315000001,0.12235881400000001,0.870583507,True,,,
linear,3.0375,0.741849175,0.1223263,0.87053215,True,,,
linear,3.03825,0.7418696185,0.122293786,0.870480793,True,,,
linear,3.039,0.7418900620000001,0.122261272,0.870429436,True,,,
linear,3.03975,0.7419105055,0.12222875799999999,0.870378079,True,,,
linear,3.0405,0.741930949,0.122196244,0.8703267219999999,True,,,
linear,3.04125,0.7419513925,0.12216373000000001,0.870275365,True,,,
linear,3.042,0.741971836,0.12213121600000001,0.870224008,True,,,
linear,3.04275,0.7419922795,0.12209870200000002,0.870172651,True,,,
linear,3.0435,0.742012723,0.122066188,0.870121294,True,,,
linear,3.04425,0.7420331665000001,0.12203367400000001,0.870069937,True,,,
linear,3.045,0.74205361,0.12200116000000001,0.87001858,True,,,
linear,3.04575,0.7420740535,0.12196864600000001,0.869967223,True,,,
linear,3.0465,0.742094497,0.121936132,0.869915866,True,,,
linear,3.04725,0.7421149405,0.121903618,0.869864509,True,,,
linear,3.048,0.742135384,0.12187110400000001,0.869813152,True,,,
linear,3.04875,0.7421558275,0.12183859,0.869761795,True,,,
linear,3.0495,0.742176271,0.121806076,0.869710438,True,,,
linear,3.05025,0.7421967145,0.121773562,0.869659081,True,,,
linear,3.051,0.742217158,0.121741048,0.869607724,True,,,
linear,3.05175,0.7422376015000001,0.121708534,0.8695563669999999,True,,,
linear,3.0525,0.742258045,0.12167602,0.86950501,True,,,
linear,3.05325,0.7422784885,0.12164350600000001,0.869453653,True,,,
linear,3.054,0.742298932,0.12161099200000001,0.869402296,True,,,
