response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
R,2,0,0,16,0.1,0.005176996829197382,0.09982446981734594,0.013787873728175137
R,2,1,0,16,1.0,0.0045898615776437815,0.08850314451406216,0.013303391020454525
R,2,2,0,16,0.01,0.006577208954993746,0.12682379736205895,0.0152534701363497
R,2,3,0,16,1.0,0.004800198475108109,0.09255892626652215,0.008773572024608267
R,2,4,0,16,1.0,0.004709278492437775,0.09080577876318952,0.009537013341327838
R,2,5,1,16,1.0,0.006069309556105313,0.11703032251798669,0.01458973106366468
R,2,6,1,16,1.0,0.005138688451469294,0.0990857957129498,0.010034960589724307
R,2,7,1,16,1.0,0.003816845901782899,0.07359761481234252,0.006864018294465812
R,2,8,1,16,1.0,0.006113925922717073,0.11789062923424283,0.013783615773330316
R,2,9,1,16,1.0,0.0024916783017612026,0.04804531925264072,0.0045806782137362
R,2,10,2,16,1.0,0.004511080623903903,0.08698406555800889,0.008025314166506314
R,2,11,2,16,1.0,0.0045493201239356915,0.08772141154115207,0.008168113850299696
R,2,12,2,16,1.0,0.008079359566292845,0.15578873462318193,0.018861668913004892
R,2,13,2,16,1.0,0.004947822906757427,0.09540546666584568,0.01344664528020556
R,2,14,2,16,1.0,0.0031916539874921415,0.06154246905173712,0.008616925899716299
R,2,15,3,16,10.0,0.0038480789664976566,0.07419986052134847,0.007647385790093053
R,2,16,3,16,1.0,0.003969712857800222,0.07654524320395323,0.010998073697067512
R,2,17,3,16,1.0,0.004239495105600894,0.08174726876845587,0.009760166054536334
R,2,18,3,16,0.01,0.00628513433733803,0.12119192335932637,0.012437396659374822
R,2,19,3,16,1e-08,0.00586817264164314,0.11315193771124997,0.013195775480580707
R,2,20,4,16,1.0,0.006465794538065025,0.12467546977622915,0.0164361982923672
R,2,21,4,16,1.0,0.005220258626266471,0.10065865730060096,0.011857577043487444
R,2,22,4,16,1.0,0.0034194019862857326,0.06593397709812247,0.006769298361592568
R,2,23,4,16,1.0,0.0030575947268650983,0.058957496516941356,0.007983980630103416
R,2,24,4,16,1.0,0.0048285765646383936,0.0931061214523127,0.008568929148626836
R,2,25,5,16,1.0,0.00470012347447399,0.09062924884738023,0.008165564855887708
R,2,26,5,16,1.0,0.005849628668977076,0.11279436703837317,0.013231044115223578
R,2,27,5,16,1.0,0.004924845043723204,0.09496240033403133,0.013691008418605488
R,2,28,5,16,1.0,0.004417751004382244,0.08518445468429532,0.011759370157218174
