method,run,points,HV,IGD_plus,Spacing,evaluations
分层网格 101x101,0,1362,0.90291432186158,0.0012391633017850867,0.002823731973482732,53006
分层网格 201x201,0,4679,0.9037668364059489,0.0005031243464943692,0.0013143252209884785,204006
分层网格 401x401,0,16858,0.9041477126258481,1.3980445034719939e-05,0.0006243584059821206,806006
分层 NSGA-II,202601,113,0.8929716647005532,0.01073443360724316,0.018112830776966845,15300
分层 NSGA-II,202602,112,0.8915264456100058,0.012562020629949896,0.015587175433214348,15300
分层 NSGA-II,202603,110,0.8927750491585612,0.01114087430857332,0.02135590140078341,15300
分层 NSGA-II,202604,108,0.8929855644273131,0.011973827361454163,0.019680024470789568,15300
分层 NSGA-II,202605,114,0.8954986294303847,0.008160994549966355,0.01646690734613553,15300
分层 NSGA-II,202606,108,0.8914288110047272,0.010743925060727152,0.020860991507366464,15300
分层 NSGA-II,202607,107,0.8918769111955456,0.01514839728028004,0.013945936816490555,15300
分层 NSGA-II,202608,104,0.8923081073424187,0.011890774293392917,0.015562588165363133,15300
分层 NSGA-II,202609,107,0.8928737489709433,0.010628782278579848,0.020448132346504194,15300
分层 NSGA-II,202610,106,0.8924304666284699,0.01091488538086956,0.01521077934565437,15300
分层 NSGA-II,202611,105,0.89173712288224,0.011501186536460069,0.0136028490655012,15300
分层 NSGA-II,202612,107,0.8913771138140602,0.011484545286729157,0.015397566717883672,15300
分层 NSGA-II,202613,109,0.8903617175615486,0.011683342438090761,0.015342596550973628,15300
分层 NSGA-II,202614,105,0.8894391168797853,0.01748582743377752,0.015327450583244992,15300
分层 NSGA-II,202615,102,0.89246855673897,0.012759135262651437,0.01903489818619183,15300
分层 NSGA-II,202616,108,0.8900556392417919,0.015476205968327616,0.022983720463606656,15300
分层 NSGA-II,202617,110,0.893182586741782,0.010228382491357218,0.013990626416739,15300
分层 NSGA-II,202618,109,0.8920255926191483,0.013251899313525207,0.01589314454209475,15300
分层 NSGA-II,202619,105,0.893651621501459,0.00887340668325276,0.020703087608678835,15300
分层 NSGA-II,202620,110,0.8930867614950331,0.011810320338686031,0.017122199109297215,15300
