candidate_source_model,evaluation_model,a,b,N,R,P,U,equal_weight_score
数值三次,current_ridge,0.2249317195316204,4.5,6.0,0.7343297100570522,0.09799577229957618,0.7901950866280671,0.38638274667150047
数值三次,cubic_ols,0.2249317195316204,4.5,6.0,0.7343296860401723,0.09799665641384277,0.7901904185364815,0.38628478285951146
数值三次,matern_gp,0.2249317195316204,4.5,6.0,0.7344790280637837,0.09827715177706545,0.7907157465993373,0.3973100598517642
类别交互,current_ridge,0.2248430373654533,4.5,6.0,0.7343344670379489,0.09797647108196203,0.7901951182329162,0.3863833984490533
类别交互,cubic_ols,0.2248430373654533,4.5,6.0,0.7343344430584898,0.09797733875150641,0.7901904573690978,0.3862855862995425
类别交互,matern_gp,0.2248430373654533,4.5,6.0,0.7344829803208263,0.098256429058826,0.7907124220736562,0.3972402759548276
分层响应面,current_ridge,0.2248102786133712,4.5,6.0,0.7343362309266278,0.09796934783953716,0.7901951455985478,0.38638396852837015
分层响应面,cubic_ols,0.2248102786133712,4.5,6.0,0.7343362069610122,0.09797020943069912,0.7901904874087737,0.3862862124891693
分层响应面,matern_gp,0.2248102786133712,4.5,6.0,0.7344844473668241,0.09824878139528537,0.7907112112166549,0.3972148592481905
机理特征,current_ridge,0.1176224184255767,3.5325642403507547,6.0,0.7472932021982417,0.10880474858917727,0.805208992580438,0.7015109408264656
机理特征,cubic_ols,0.1176224184255767,3.5325642403507547,6.0,0.7472932091269695,0.10880586479779553,0.8052102838538409,0.7015380409302386
机理特征,matern_gp,0.1176224184255767,3.5325642403507547,6.0,0.7472141942825379,0.1087017737745076,0.8047393986159157,0.6916556938404093
三次OLS,current_ridge,0.2249420302523572,4.5,6.0,0.7343291586975125,0.09799801805157227,0.7901950869816305,0.386382755432871
三次OLS,cubic_ols,0.2249420302523572,4.5,6.0,0.7343291346762871,0.0979989040768276,0.790190418050766,0.38628477401003286
三次OLS,matern_gp,0.2249420302523572,4.5,6.0,0.7344785703731145,0.09827956297410506,0.7907161375456722,0.39731826604920245
Matérn GP,current_ridge,0.2204743916910102,4.5,6.0,0.7346010004154834,0.09705709977095564,0.7902720010713683,0.3879964188651443
Matérn GP,cubic_ols,0.2204743916910102,4.5,6.0,0.7346009783746217,0.09705714043104341,0.7902677155747585,0.38790648319484744
Matérn GP,matern_gp,0.2204743916910102,4.5,6.0,0.7347120238980837,0.09727051821835325,0.7906318882493396,0.39554956726189555
模型集合保守,current_ridge,0.2204743916910102,4.5,6.0,0.7346010004154834,0.09705709977095564,0.7902720010713683,0.3879964188651443
模型集合保守,cubic_ols,0.2204743916910102,4.5,6.0,0.7346009783746217,0.09705714043104341,0.7902677155747585,0.38790648319484744
模型集合保守,matern_gp,0.2204743916910102,4.5,6.0,0.7347120238980837,0.09727051821835325,0.7906318882493396,0.39554956726189555
