w_R,w_P,w_U,a,b,N,R,P,U,G
0.0,0.0,1.0,0.224960630277433,4.5,4.0,0.7411042062713527,0.0852331580305074,0.7717866245883456,-4.38793242258576e-11
0.0,0.02,0.98,0.22,4.5,4.0,0.741183193503667,0.0847071006923892,0.7718852436786225,0.006303542590954342
0.0,0.04,0.96,0.217931814223246,4.5,4.0,0.7412376465258322,0.0845066402623834,0.7719828768120054,0.01231550097153011
0.0,0.06,0.94,0.216143105724018,4.5,4.0,0.7412945814165557,0.0843418398002527,0.7720930739170433,0.018137276025971618
0.0,0.08,0.92,0.2148370229876116,4.5,4.0,0.7413417915093518,0.0842263968873432,0.7721882639950131,0.023815773465806104
0.0,0.1,0.9,0.2135,4.5,4.0,0.7413949523785017,0.084112397674327,0.7722983098541626,0.02935520166777797
0.0,0.12,0.88,0.2124793862633019,4.5,4.0,0.7414387688868433,0.0840281665708472,0.77239073880929,0.034858587856235704
0.0,0.14,0.86,0.2115,4.5,4.0,0.7414834097581178,0.0839495681992798,0.7724861785968813,0.04026813298495875
0.0,0.16,0.84,0.21,4.5,4.0,0.7415566263065058,0.0838333422211986,0.7726449293172232,0.04539548757651919
0.0,0.18,0.82,0.209,4.5,4.0,0.7416086413714152,0.0837585955144466,0.7727590659124663,0.05052356989851511
0.0,0.2,0.8,0.208,4.5,4.0,0.7416631766861165,0.083685994825249,0.7728797222673449,0.05560926822949014
0.0,0.22,0.78,0.207,4.5,4.0,0.7417201954137563,0.0836155026061596,0.7730067934112503,0.06060624214773437
0.0,0.24,0.76,0.206,4.5,4.0,0.7417796607174816,0.0835470813097321,0.7731401743735742,0.06551876096832528
0.0,0.26,0.74,0.2049361492814567,4.5,4.0,0.7418455675096243,0.0834765226559191,0.7732888811256133,0.07031159837568754
0.0,0.28,0.72,0.2039577888540814,4.5,4.0,0.7419085473290435,0.0834136265699497,0.7734317280347651,0.07507976202035647
0.0,0.3,0.7,0.203,4.5,4.0,0.741972367716638,0.0833538674819585,0.7735771264649707,0.07979064249632806
0.0,0.32,0.68,0.202,4.5,4.0,0.742041250956173,0.083293354401716,0.7737346969948827,0.0844058507455771
0.0,0.34,0.66,0.201,4.5,4.0,0.7421123965875274,0.0832347245069042,0.7738980524901704,0.08895631297393256
0.0,0.36,0.64,0.1998188894396565,4.5,4.0,0.742199291242059,0.0831678505034671,0.7740983014383189,0.0933136967788892
0.0,0.38,0.62,0.1988385122482389,4.5,4.0,0.7422737324528961,0.0831142531373973,0.7742704117035368,0.09775710055369746
0.0,0.4,0.6,0.1976953991587112,4.5,4.0,0.7423631324766864,0.0830538980433922,0.7744777025843024,0.10202435516159607
0.0,0.42,0.58,0.1965463730082495,4.5,4.0,0.7424557653004529,0.0829954977074822,0.7746930884394302,0.10623365742395975
0.0,0.44,0.56,0.1954256504796293,4.5,4.0,0.7425487387449523,0.082940671122393,0.774909799681962,0.11041514660640635
0.0,0.46,0.54,0.1942805146366119,4.5,4.0,0.7426463580318916,0.0828867727357947,0.7751378404022335,0.11453240378420368
0.0,0.48,0.52,0.193,4.5,4.0,0.7427585873214777,0.0828289743303597,0.7754005587329704,0.11850325907890878
0.0,0.5,0.5,0.1917519992922826,4.5,4.0,0.7428710140940785,0.0827750822437135,0.7756642449872218,0.12246100596989729
0.0,0.52,0.48,0.1905,4.5,4.0,0.7429867508519628,0.0827233624023023,0.775936145806535,0.12638140122088198
0.0,0.54,0.46,0.189,4.5,4.0,0.7431292021111299,0.08266438696231,0.7762713364314145,0.13008422776965398
0.0,0.56,0.44,0.1875335654083107,4.5,4.0,0.7432723458571907,0.08260976645754,0.776608643508301,0.13378987538426745
0.0,0.58,0.42,0.186,4.5,4.0,0.7434260190159971,0.0825557260729415,0.776971200750756,0.13742829792044708
0.0,0.6,0.4,0.1845,4.5,4.0,0.7435801360129382,0.082505787178303,0.7773351658936102,0.14107751461913828
0.0,0.62,0.38,0.1829185377142079,4.5,4.0,0.7437465622031689,0.0824561212461605,0.7777285100592787,0.1446602313986163
0.0,0.64,0.36,0.181,4.5,4.0,0.7439536827427639,0.0823997724838526,0.7782183503876573,0.14801531857559141
0.0,0.66,0.34,0.178741659237187,4.5,4.0,0.7442044897637509,0.0823385864152302,0.7788117805121816,0.15117246415478833
0.0,0.68,0.32,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.14578584129818195
0.0,0.7,0.3,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.13667423433320175
0.0,0.72,0.28,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.12756262736822158
0.0,0.74,0.26,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.11845102040324136
0.0,0.76,0.24,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.10933941343826113
0.0,0.78,0.22,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.10022780647328094
0.0,0.8,0.2,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.09111619950830074
0.0,0.82,0.18,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.08200459254332053
0.0,0.84,0.16,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.0728929855783403
0.0,0.86,0.14,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.06378137861336011
0.0,0.88,0.12,0.2230239703682651,4.5,2.0,0.7599338858777449,0.0760755305197009,0.7790228731817824,0.0546697716483799
0.0,0.9,0.1,0.2230274083380699,4.5,2.0,0.7599340113494193,0.0760754874076771,0.7790228732018154,0.0455581646684561
0.0,0.92,0.08,0.2230274083380699,4.5,2.0,0.7599340113494193,0.0760754874076771,0.7790228732018154,0.036446557675116266
0.0,0.94,0.06,0.2230274083380699,4.5,2.0,0.7599340113494193,0.0760754874076771,0.7790228732018154,0.02733495068177644
0.0,0.96,0.04,0.2230274083380699,4.5,2.0,0.7599340113494193,0.0760754874076771,0.7790228732018154,0.018223343688436616
0.0,0.98,0.02,0.2230291476100523,4.5,2.0,0.759934074838174,0.0760754656068588,0.7790228732492679,0.00911173667717155
0.0,1.0,0.0,0.2286344391277271,4.5,2.0,0.7601834770332321,0.0760397916900916,0.7791563620215654,-7.659192350564856e-11
0.02,0.0,0.98,0.233,3.45,4.0,0.7368773202245219,0.1116745695577091,0.7721900563831497,0.025012062825300482
0.02,0.02,0.96,0.2285,3.4575,4.0,0.73704258483913,0.1108082908564187,0.7721905958455874,0.025288934809087237
0.02,0.04,0.94,0.2275835994519573,4.5,4.0,0.7410930690632069,0.0855383277834281,0.77181517268829,0.03134339150684134
0.02,0.06,0.92,0.2275835994519573,4.5,4.0,0.7410930690632069,0.0855383277834281,0.77181517268829,0.03134407858538647
0.02,0.08,0.9,0.2275835994519573,4.5,4.0,0.7410930690632069,0.0855383277834281,0.77181517268829,0.03134476566393161
0.02,0.1,0.88,0.2195,4.5,4.0,0.7411952233941057,0.0846576471632514,0.7719058737424537,0.03149907597230872
0.02,0.12,0.86,0.2124793862633019,4.5,4.0,0.7414387688868433,0.0840281665708472,0.77239073880929,0.0348616975882807
0.02,0.14,0.84,0.211,4.5,4.0,0.7415071683282415,0.0839102724929512,0.7725374174522242,0.04007147844275131
0.02,0.16,0.82,0.21,4.5,4.0,0.7415566263065058,0.0838333422211986,0.7726449293172232,0.04534786410267442
0.02,0.18,0.8,0.209,4.5,4.0,0.7416086413714152,0.0837585955144466,0.7727590659124663,0.0505266587699543
0.02,0.2,0.78,0.208,4.5,4.0,0.7416631766861165,0.083685994825249,0.7728797222673449,0.05561235010050371
0.02,0.22,0.76,0.207,4.5,4.0,0.7417201954137563,0.0836155026061596,0.7730067934112503,0.06060931658366027
0.02,0.24,0.74,0.206,4.5,4.0,0.7417796607174816,0.0835470813097321,0.7731401743735742,0.06552182754218511
0.02,0.26,0.72,0.2046771493622676,4.5,4.0,0.7418620206463858,0.0834596880078278,0.7733261331885476,0.07015567733193882
0.02,0.28,0.7,0.2039577888540814,4.5,4.0,0.7419085473290435,0.0834136265699497,0.7734317280347651,0.07508281124400443
0.02,0.3,0.68,0.2028311984331745,4.5,4.0,0.7419838350225968,0.0833435190587373,0.7736033142849728,0.07968091474722083
