响应,效应,SS,贡献率
R,a,0.0022468853077999996,0.2386583966686917
R,b,0.002993834189300028,0.31799739178046943
R,N,0.002702532632924995,0.2870560873221521
R,a×b,6.137560490000026e-05,0.0065191593932968995
R,a×N,0.000558920075074999,0.059367057375060955
R,b×N,0.0005717725265749927,0.06073221182135263
R,a×b×N,0.00027932980422499886,0.029669695638978172
P,a,0.0195152806930375,0.31699853808501977
P,b,0.0239432458252375,0.38892466078227755
P,N,0.011161206998825004,0.18129825327872975
P,a×b,1.950134512500084e-06,3.1677217420307054e-05
P,a×N,0.006924024142775,0.1124711227806289
P,b×N,8.245395074999928e-06,0.00013393495209325487
P,a×b×N,8.730382924999965e-06,0.00014181290383052394
U,a,0.006252641492837567,0.24287111360755553
U,b,0.004289145399437426,0.16660311018621085
U,N,0.012357096642574922,0.47998623077562114
U,a×b,0.0016072648776124959,0.06243092797423547
U,a×N,0.0006242106457249976,0.024246190162443056
U,b×N,0.0005771574126250054,0.022418503234458827
U,a×b×N,3.717337707500018e-05,0.0014439240594716453
