response,factor,level,marginal_mean,overall_mean,relative_deviation_pct,sample_count
R,a,0.1,0.75388085,0.7461017999999999,1.0426258186215502,20
R,a,0.15,0.7459964500000001,0.7461017999999999,-0.01412005707529214,20
R,a,0.2,0.73892005,0.7461017999999999,-0.9625697190383238,20
R,a,0.3,0.7456098499999999,0.7461017999999999,-0.06593604250787477,20
R,b,3.0,0.7372637,0.7461017999999999,-1.184570255694325,20
R,b,3.5,0.7435427,0.7461017999999999,-0.3429960898097184,20
R,b,4.0,0.75200365,0.7461017999999999,0.791024763644867,20
R,b,4.5,0.75159715,0.7461017999999999,0.736541581859221,20
R,N,2.0,0.7571794375,0.7461017999999999,1.4847353940172945,16
R,N,4.0,0.7462208125,0.7461017999999999,0.015951241506202817,16
R,N,6.0,0.7432840000000001,0.7461017999999999,-0.3776696423999876,16
R,N,8.0,0.7431648750000001,0.7461017999999999,-0.39363596227751607,16
R,N,10.0,0.740659875,0.7461017999999999,-0.7293810308459193,16
P,a,0.1,0.10469209999999998,0.1170519125,-10.559257201372095,20
P,a,0.15,0.10770465000000003,0.1170519125,-7.985570077720829,20
P,a,0.2,0.11209359999999999,0.1170519125,-4.235994435374994,20
P,a,0.3,0.14371730000000002,0.1170519125,22.78082171446795,20
P,b,3.0,0.1432553,0.1170519125,22.386125045158927,20
P,b,3.5,0.12081129999999998,0.1170519125,3.211726677255264,20
P,b,4.0,0.10694535000000001,0.1170519125,-8.634256616695593,20
P,b,4.5,0.09719570000000002,0.1170519125,-16.96359510571856,20
P,N,2.0,0.1002846875,0.1170519125,-14.324605759858898,16
P,N,4.0,0.1073256875,0.1170519125,-8.309326000974133,16
P,N,6.0,0.118482375,0.1170519125,1.2220752907390617,16
P,N,8.0,0.12789324999999999,0.1170519125,9.261990913646962,16
P,N,10.0,0.1312735625,0.1170519125,12.149865556447018,16
U,a,0.1,0.82010825,0.8131816624999999,0.8517884526202141,20
U,a,0.15,0.81108075,0.8131816624999999,-0.2583570925026713,20
U,a,0.2,0.7996198999999999,0.8131816624999999,-1.6677408167698278,20
U,a,0.3,0.8219177500000001,0.8131816624999999,1.0743094566523397,20
U,b,3.0,0.8251964,0.8131816624999999,1.4774973482632057,20
U,b,3.5,0.8054762500000001,0.8131816624999999,-0.9475634849303783,20
U,b,4.0,0.8101770500000001,0.8131816624999999,-0.36948847207924307,20
U,b,4.5,0.81187695,0.8131816624999999,-0.16044539125350243,20
U,N,2.0,0.8072090000000001,0.8131816624999999,-0.7344807163552877,16
U,N,4.0,0.7951443125,0.8131816624999999,-2.21812060352504,16
U,N,6.0,0.8090988125,0.8131816624999999,-0.5020833828750855,16
U,N,8.0,0.8271146875000001,0.8131816624999999,1.7133963593282768,16
U,N,10.0,0.8273415,0.8131816624999999,1.7412883434272046,16
