weight_id,w_R,w_P,w_U,a,b,N,R,P,U,score,optimizer_success,optimizer_method
0,0.0,0.0,1.0,0.224960630277433,4.5,4.0,0.7411042062713527,0.08523315803050747,0.7717866245883456,-4.38793242258576e-11,True,SLSQP
1,0.0,0.05,0.95,0.21693822437545637,4.5,4.0,0.7412681606592939,0.08441413066274288,0.772041181705672,0.01522623143414257,True,SLSQP
2,0.0,0.1,0.9,0.2134315143256873,4.5,4.0,0.7413978054355407,0.08410667052935111,0.7723042853369478,0.02933441135138165,True,SLSQP
3,0.0,0.15,0.85,0.210547880547096,3.7978591372754296,4.0,0.7432053881459444,0.09853409619529635,0.7740791984022686,0.12269769438439046,True,Powell_retry
4,0.0,0.2,0.8,0.2079189954369874,4.5,4.0,0.7416677035211587,0.08368020665720438,0.7728897782502078,0.055567226803815616,True,SLSQP
5,0.0,0.25,0.75,0.20539370497298257,3.899415039046159,4.0,0.7447240356390408,0.09562455340030968,0.7755569155639451,0.17804542191191358,True,Powell_retry
6,0.0,0.3,0.7,0.20288341233153132,4.5,4.0,0.7419802809544794,0.08334671420977294,0.7735951959407291,0.07971269322565763,True,SLSQP
7,0.0,0.35,0.65,0.20032187025285572,4.5,4.0,0.7421619111346416,0.08319601828184733,0.7740120670068519,0.09108016889520068,True,SLSQP
8,0.0,0.4,0.6,0.19764888520517002,4.0479686692347,4.0,0.7463948613166538,0.09181006309963435,0.7778585347394701,0.22938845560594207,True,Powell_retry
9,0.0,0.45,0.55,0.19480060006270777,4.5,4.0,0.7426016975266104,0.08291098935423116,0.7750334532828014,0.11243890360693004,True,SLSQP
10,0.0,0.5,0.5,0.19170075940134718,4.5,4.0,0.7428756932958808,0.08277291993997013,0.7756752294545413,0.12242172940511653,True,SLSQP
11,0.0,0.55,0.45,0.1882496493665382,4.5,4.0,0.7432019745879943,0.08263607120084737,0.7764427642355649,0.13192689175715785,True,SLSQP
12,0.0,0.6,0.4,0.18430673737705647,4.5,4.0,0.7436002600409806,0.08249955625781763,0.7773827132574345,0.14094170038620288,True,SLSQP
13,0.0,0.65,0.35,0.17965960017566907,4.499999999805771,4.0,0.7441016562559262,0.08236281078755461,0.7785684454481197,0.14945463250361277,True,SLSQP
14,0.0,0.7,0.3,0.2230251831563773,4.5,2.0,0.7599339301357405,0.07607551530850461,0.7790228731776655,0.13667423421673128,True,SLSQP
15,0.0,0.75,0.25,0.22302524121318823,4.5,2.0,0.7599339322544968,0.07607551458041516,0.7790228731777742,0.11389521681420076,True,SLSQP
16,0.0,0.8,0.2,0.223025387813284,4.5,2.0,0.759933937604641,0.07607551274193788,0.7790228731781729,0.09111619941114305,True,SLSQP
17,0.0,0.85,0.15,0.2230254758954358,4.5,2.0,0.759933940819212,0.0760755116373424,0.7790228731784982,0.06833718200648178,True,SLSQP
18,0.0,0.9,0.1,0.22302576782224706,4.5,2.0,0.759933951473278,0.07607550797654819,0.7790228731800359,0.0455581645986403,True,SLSQP
19,0.0,0.95,0.05,0.22302664421282875,4.5,2.0,0.759933983459168,0.07607549698760499,0.7790228731888956,0.022779147177524377,True,SLSQP
20,0.0,1.0,0.0,0.2286344391277271,4.5,2.0,0.7601834770332321,0.07603979169009167,0.7791563620215654,-7.659192325337233e-11,True,SLSQP
21,0.05,0.0,0.95,0.23402599299318363,3.3916495336289865,4.0,0.735847877537381,0.11400358576436988,0.7727673705354546,0.05866411318834537,True,SLSQP
22,0.05,0.05,0.9,0.2198054687544833,3.4379392947100054,4.0,0.736926804161345,0.11054076784729423,0.7728936022455637,0.06273609881304852,True,SLSQP
23,0.05,0.1,0.85,0.22759694944488168,4.5,4.0,0.7410930682112544,0.08553993045892347,0.7718154654400675,0.07835820820947229,True,SLSQP
24,0.05,0.15,0.8,0.22759545858370422,4.5,4.0,0.7410930682780624,0.0855397514549091,0.7718154326721087,0.07835992609325768,True,SLSQP
25,0.05,0.2,0.75,0.22759430795729518,4.5,4.0,0.741093068334495,0.08553961330636423,0.7718154073951176,0.07836164395870499,True,SLSQP
26,0.05,0.25,0.7,0.21990557979465436,4.5,4.0,0.7411854093578256,0.08469771301097184,0.7718889929206035,0.07870967303904704,True,SLSQP
27,0.05,0.3,0.65,0.20499894501145988,4.499999999999989,4.0,0.7418416022973906,0.08348062441052484,0.7732799106846403,0.08117966585225579,True,SLSQP
28,0.05,0.35,0.6,0.19935327536396935,4.5,4.0,0.7422343865051256,0.0831421816144338,0.7741793826155351,0.0904032291709743,True,SLSQP
29,0.05,0.4,0.55,0.19647498980846054,4.5,4.0,0.7424616104824412,0.08299194328567974,0.7747066979665341,0.10113156777821397,True,SLSQP
30,0.05,0.45,0.5,0.19336901185401284,4.5,4.0,0.7427259175516144,0.08284536701546188,0.7753240262452991,0.11137351732078171,True,SLSQP
31,0.05,0.5,0.45,0.18993585782414626,4.499999999999998,4.0,0.7430398473230613,0.08270080573106632,0.7760610198765732,0.12111911043401817,True,Powell_retry
32,0.05,0.55,0.4,0.1860383252606966,4.5,4.0,0.7434221300882249,0.08255703928492193,0.7769620208919527,0.13035494286019655,True,SLSQP
33,0.05,0.6,0.35,0.18147158657066115,4.499999999947096,4.0,0.7439022534658376,0.08241323961060601,0.7780966949216709,0.1390672913656634,True,Powell_retry
34,0.05,0.65,0.3,0.17590454229059874,4.499999999411279,4.0,0.7445296833751355,0.08226896671995759,0.779581318475746,0.14724559609325044,True,SLSQP
35,0.05,0.7,0.25,0.20854110043653187,4.5,2.0,0.7596784389422864,0.0764616302712583,0.7798390946677227,0.14815875593364267,True,SLSQP
36,0.05,0.75,0.2,0.2085378876670206,4.5,2.0,0.7596784387211888,0.07646175706137506,0.7798394450145391,0.1481562979820212,True,SLSQP
37,0.05,0.8,0.15,0.2085346774750958,4.5,2.0,0.7596784385234415,0.07646188376612595,0.7798397951500451,0.14815383994318232,True,SLSQP
38,0.05,0.85,0.1,0.20853146231953099,4.5,2.0,0.7596784383486047,0.07646201068317658,0.7798401458968365,0.14815138181706494,True,SLSQP
39,0.05,0.9,0.05,0.1,4.5,4.0,0.7544370512906237,0.08037308986535271,0.8016311570728486,0.14182625365315588,True,SLSQP
40,0.05,0.95,0.0,0.2085250282633849,4.5,2.0,0.7596784380684923,0.07646226471435338,0.7798408480090251,0.1481464653027463,True,SLSQP
41,0.1,0.0,0.9,0.23547604104613257,3.3307977301902647,4.0,0.7348081426817002,0.11662918123460513,0.7737192699284501,0.1095187746812346,True,SLSQP
42,0.1,0.05,0.85,0.2349739135756535,3.3257230769146116,4.0,0.7347233160354809,0.11676381377057293,0.7738210499102323,0.10888904446726357,True,SLSQP
43,0.1,0.1,0.8,0.2174312919273513,3.4320713627371493,4.0,0.7369231151166882,0.11052555562271633,0.7731951630630337,0.12541143260197876,True,Powell_retry
44,0.1,0.15,0.75,0.21502737892086451,3.626196909182617,4.0,0.7403583528493223,0.10376062759098197,0.7726234699234181,0.1512103710501245,True,SLSQP
45,0.1,0.2,0.7,0.22760252242627801,4.5,4.0,0.7410930680246115,0.0855405996490027,0.7718155880965833,0.15671623452963526,True,SLSQP
46,0.1,0.25,0.65,0.22760190469791,4.5,4.0,0.7410930680403938,0.08554052546932625,0.7718155744879477,0.15671795250365428,True,SLSQP
47,0.1,0.3,0.6,0.22760128686104064,4.5,4.0,0.7410930680574023,0.08554045127770615,0.7718155608801557,0.15671967046847032,True,SLSQP
48,0.1,0.35,0.55,0.22760066890853264,4.5,4.0,0.7410930680756378,0.08554037707328593,0.7718155472730517,0.15672138842408032,True,SLSQP
49,0.1,0.4,0.5,0.22760005083674184,4.5,4.0,0.7410930680951013,0.08554030285562862,0.7718155336665573,0.1567231063704832,True,SLSQP
50,0.1,0.45,0.45,0.22759943320467715,4.5,4.0,0.7410930681157742,0.08554022869185876,0.7718155200729763,0.15672482430767584,True,SLSQP
51,0.1,0.5,0.4,0.2199055851801721,4.5,4.0,0.7411854092306951,0.08469771354577423,0.7718889927048057,0.15741870073984998,True,SLSQP
52,0.1,0.55,0.35,0.21225058785197753,4.5,4.0,0.7414489714854189,0.08400961069463092,0.7724124473252085,0.15939943874639836,True,SLSQP
53,0.1,0.6,0.3,0.20499894857332968,4.5,4.0,0.7418416020727427,0.08348062464340555,0.7732799101765048,0.16234992954591426,True,SLSQP
54,0.1,0.65,0.25,0.19795559654346884,4.5,4.0,0.7423425394506723,0.08306743640828113,0.7744299004403679,0.16611381153052238,True,SLSQP
55,0.1,0.7,0.2,0.19097180404302616,4.499999996268449,4.0,0.7429427943279194,0.08274258150409988,0.775832829026673,0.17062326207263648,True,SLSQP
56,0.1,0.75,0.15,0.18393176112814388,4.5,4.0,0.7436394768798501,0.08248759637593103,0.7774753844187712,0.17585632427402217,True,SLSQP
57,0.1,0.8,0.1,0.1767541523005265,4.49999999992902,4.0,0.7444311633310275,0.08228901352451026,0.779348190322326,0.18180207197818896,True,SLSQP
58,0.1,0.85,0.05,0.16940816011193705,4.5,4.0,0.7453123898895516,0.08213555159670832,0.7814318483737163,0.1884192431004081,True,SLSQP
59,0.1,0.9,0.0,0.1619407530858799,4.5,4.0,0.7462668264741613,0.08201594234058854,0.7836804481735625,0.19558498324683626,True,SLSQP
60,0.15,0.0,0.85,0.23649787669192657,3.284972065938124,4.0,0.7340595175107818,0.11869789963849646,0.7746985222303885,0.15584377516219347,True,SLSQP
61,0.15,0.05,0.8,0.2360051838955178,3.2787335197403893,4.0,0.7339596303994435,0.11889184348145361,0.774858173813245,0.15472618439651697,True,SLSQP
62,0.15,0.1,0.75,0.23223925089400607,3.2753458610514032,4.0,0.7339271370865824,0.11850052459564993,0.7750562989128124,0.15442005668557565,True,SLSQP
63,0.15,0.15,0.7,0.21720506801259565,3.431491070156922,4.0,0.7369231945580386,0.11052571973703008,0.7732264048295885,0.18811374827002086,True,SLSQP
64,0.15,0.2,0.65,0.21457831215225456,3.565033625338563,4.0,0.7393416754036681,0.1056507700412601,0.7726261955314592,0.21535866439629547,True,SLSQP
65,0.15,0.25,0.6,0.22760485038566647,4.5,4.0,0.7410930679761257,0.0855408792108747,0.7718156394108788,0.23507254257415625,True,SLSQP
66,0.15,0.3,0.55,0.22760443842285394,4.5,4.0,0.7410930679834409,0.08554082973762828,0.7718156303268003,0.23507426058441788,True,SLSQP
67,0.15,0.35,0.5,0.22760402640270563,4.5,4.0,0.7410930679913011,0.08554078025797916,0.7718156212428958,0.2350759785885446,True,SLSQP
68,0.15,0.4,0.45,0.22760361433080034,4.5,4.0,0.7410930679997066,0.08554073077259752,0.7718156121592888,0.23507769658653527,True,SLSQP
69,0.15,0.45,0.4,0.2276032027034988,4.5,4.0,0.7410930680086465,0.08554068134109022,0.7718156030869189,0.23507941457838905,True,SLSQP
70,0.15,0.5,0.35,0.2276027905815105,4.5,4.0,0.7410930680181412,0.0855406318506598,0.771815594005084,0.23508113256410537,True,SLSQP
71,0.15,0.55,0.3,0.22760237840746758,4.5,4.0,0.7410930680281816,0.08554058235446152,0.7718155849235414,0.23508285054368203,True,SLSQP
72,0.15,0.6,0.25,0.2276019661778426,4.5,4.0,0.7410930680387682,0.08554053285207196,0.7718155758422137,0.2350845685171194,True,SLSQP
73,0.15,0.65,0.2,0.22760155387254363,4.5,4.0,0.7410930680499015,0.08554048334107864,0.7718155667606591,0.2350862864844153,True,SLSQP
74,0.15,0.7,0.15,0.22536373923163153,4.5,4.0,0.7411010873587602,0.0852788125492725,0.7717872979064422,0.23517765235474214,True,SLSQP
75,0.15,0.75,0.1,0.2199055898300854,4.499999999947096,4.0,0.7411854091222936,0.08469771400851561,0.7718889925201782,0.2361277276984704,True,Powell_retry
76,0.15,0.8,0.05,0.21474597116250463,4.5,4.0,0.7413452576262279,0.0842185003445046,0.7721953564161477,0.2379287258006155,True,SLSQP
77,0.15,0.85,0.0,0.20979939960914662,4.5,4.0,0.7415668567038325,0.08381817412932817,0.7726672973606851,0.24042524416293268,True,SLSQP
78,0.2,0.0,0.8,0.2365871069790968,3.24619500883887,4.0,0.7334547015699476,0.12040155979959409,0.7757314393987808,0.19870614998569563,True,SLSQP
79,0.2,0.05,0.75,0.23808064492139058,3.237884601718983,4.0,0.7333325052025538,0.12100091455003399,0.7759555552583224,0.19687868904469735,True,SLSQP
80,0.2,0.1,0.7,0.23816594110496309,3.2294828614330595,4.0,0.7332070119521195,0.12139192464118974,0.7762105639565554,0.19500184249130195,True,SLSQP
81,0.2,0.15,0.65,0.22157158081146777,3.306905072210716,4.0,0.7346901568541147,0.11587123802783537,0.7750599568392161,0.21727855957315484,True,SLSQP
82,0.2,0.2,0.6,0.21720506838254613,3.431491070898603,4.0,0.7369231945542627,0.11052571974432418,0.7732264047807174,0.25081530986566986,True,SLSQP
83,0.2,0.25,0.55,0.2151312429075976,3.534366298400842,4.0,0.7387887743085643,0.1067112205239405,0.7726467889613764,0.2788375998695999,True,SLSQP
84,0.2,0.3,0.5,0.21373359876846362,3.622609711069279,4.0,0.7403564389468843,0.10375799167626157,0.772733630394861,0.3023870701323278,True,SLSQP
85,0.2,0.35,0.45,0.22760570669365454,4.5,4.0,0.7410930679626613,0.0855409820477599,0.7718156582976912,0.3134305685488007,True,SLSQP
86,0.2,0.4,0.4,0.22760539762418067,4.5,4.0,0.7410930679672499,0.08554094493033434,0.7718156514801082,0.31343228657259475,True,SLSQP
87,0.2,0.45,0.35,0.22760508852248068,4.5,4.0,0.7410930679721454,0.0855409078093104,0.771815644662624,0.3134340045917878,True,SLSQP
88,0.2,0.5,0.3,0.2276047794353297,4.5,4.0,0.7410930679773469,0.08554087069030546,0.7718156378462699,0.31343572260637986,True,SLSQP
89,0.2,0.55,0.25,0.22760447031755723,4.5,4.0,0.7410930679828551,0.08554083356789491,0.7718156310300504,0.3134374406163688,True,SLSQP
90,0.2,0.6,0.2,0.22760416112293844,4.5,4.0,0.7410930679886711,0.08554079643652768,0.771815624212946,0.31343915862175403,True,SLSQP
91,0.2,0.65,0.15,0.22760385194215413,4.5,4.0,0.7410930679947934,0.08554075930709376,0.7718156173969567,0.31344087662253584,True,SLSQP
92,0.2,0.7,0.1,0.22760354268483685,4.5,4.0,0.7410930680012235,0.08554072216874103,0.7718156105800904,0.31344259461871204,True,SLSQP
93,0.2,0.75,0.05,0.22760323404175858,4.5,4.0,0.7410930680079467,0.08554068510442281,0.7718156037775715,0.31344431261028455,True,SLSQP
94,0.2,0.8,0.0,0.2276029248132087,4.5,4.0,0.7410930680149889,0.08554064797006825,0.7718155969629582,0.31344603059725124,True,SLSQP
95,0.25,0.0,0.75,0.2389789139655895,3.2098506339919775,4.0,0.7329231632986423,0.12241449892501259,0.7768350187517862,0.23840172246007074,True,SLSQP
96,0.25,0.05,0.7,0.2389856499946351,3.200890651081115,4.0,0.7327948467951404,0.12282956517070265,0.7771409506138033,0.23600076364289133,True,SLSQP
97,0.25,0.1,0.65,0.23897041809830505,3.1910803663906577,4.0,0.7326566819978411,0.1232845535122124,0.7774894304676596,0.23341504416678632,True,SLSQP
98,0.25,0.15,0.6,0.22507441973541983,3.2104647850898234,4.0,0.7331395698897516,0.12049120363676803,0.777680865783148,0.2424875616892158,True,Powell_retry
99,0.25,0.2,0.55,0.22047943433622577,3.3344167560353686,4.0,0.7351701775845833,0.11462112823176014,0.7745270417597169,0.2806045380916983,True,SLSQP
100,0.25,0.25,0.5,0.21720483485041422,3.4314904735108005,4.0,0.7369231947350285,0.11052571992675903,0.7732264372134278,0.31351687452379157,True,SLSQP
101,0.25,0.3,0.45,0.2155800510702074,3.5154343411276296,4.0,0.7384413700017586,0.10739122567422268,0.772682398809628,0.3420224276920123,True,SLSQP
102,0.25,0.35,0.4,0.2138130224597871,3.587555835336335,4.0,0.739761786057662,0.10486053736155893,0.7726869963355708,0.3668162797764785,True,Powell_retry
103,0.25,0.4,0.35,0.21329743799201256,3.6549564549861255,4.0,0.7409114685200071,0.10274211397055172,0.7728731889240225,0.38840457773470466,True,SLSQP
