seed,N,generation,min_R,min_P,min_U
202601,2,1,0.7366990144716602,0.07914205202299154,0.7849210084034642
202601,2,11,0.7357867406407563,0.07630515382727862,0.7794294144770917
202601,2,21,0.7357866296011811,0.07626733414133674,0.7793393296880344
202601,2,31,0.7357866295066822,0.07604340619659103,0.7790271660753818
202601,2,41,0.7357866295066822,0.07604258874474194,0.7790240590488059
202601,2,50,0.7357866295066822,0.07603979190770968,0.7790228758329141
202601,4,1,0.7307528780993965,0.08107696218151529,0.7718930950737193
202601,4,11,0.73058631663575,0.0803730898653527,0.7718085935952211
202601,4,21,0.7305861480278971,0.0803730898653527,0.7717908828434652
202601,4,31,0.7305861480278971,0.0803730898653527,0.7717866737850468
202601,4,41,0.7305861480278971,0.0803730898653527,0.7717866737850468
202601,4,50,0.7305861480278971,0.0803730898653527,0.7717866250796219
202601,6,1,0.7297633728507679,0.09183350987797233,0.7861339893594915
202601,6,11,0.7297405416065843,0.08659064836436176,0.7857730976841558
202601,6,21,0.7297381040117003,0.08423031629596314,0.785772886638972
202601,6,31,0.7297376735778582,0.08423031629596314,0.785772886638972
202601,6,41,0.7297376735778582,0.08423031629596314,0.785772886638972
202601,6,50,0.7297376735778582,0.08423031629596314,0.785772886638972
202601,8,1,0.7278550668694163,0.0935586609099218,0.8052973363260987
202601,8,11,0.727811687506857,0.0886106334225494,0.8046958192445572
202601,8,21,0.7278115997732428,0.0886106334225494,0.8046856833029574
202601,8,31,0.7278115997732428,0.0886106334225494,0.8046856833029574
202601,8,41,0.7278115997732428,0.0886106334225494,0.8046856833029574
202601,8,50,0.7278115997732428,0.0886106334225494,0.8046856833029574
202601,10,1,0.7216666684444581,0.09125798164891145,0.8064859673790116
202601,10,11,0.7202400129169317,0.08846360771333533,0.806470991963198
202601,10,21,0.7202310557080084,0.08846360771333533,0.806470991963198
202601,10,31,0.7202281699470584,0.08846360771333533,0.8064634906394569
202601,10,41,0.7202275524668174,0.08846360771333533,0.8064634906394569
202601,10,50,0.7202275524668174,0.08846360771333533,0.8064625928324994
202602,2,1,0.7371216880565343,0.07687890601019229,0.7806488933891912
202602,2,11,0.7357866340862086,0.07604028420740311,0.7790228912059549
202602,2,21,0.7357866332991746,0.07603980668524363,0.7790228739408064
202602,2,31,0.7357866299179994,0.07603979193190183,0.7790228739408064
202602,2,41,0.735786629491429,0.07603979170645053,0.7790228739408064
202602,2,50,0.735786629491429,0.07603979170645053,0.7790228739408064
202602,4,1,0.73086599135889,0.08187971041578762,0.7719760500033902
202602,4,11,0.7305862512995107,0.0803730898653527,0.7717947630383506
202602,4,21,0.7305861590370829,0.0803730898653527,0.7717866765169682
202602,4,31,0.7305861590370829,0.0803730898653527,0.7717866270635372
202602,4,41,0.7305861459922208,0.0803730898653527,0.7717866270635372
202602,4,50,0.7305861459922208,0.0803730898653527,0.7717866270635372
202602,6,1,0.7307281978877576,0.08462452257226699,0.7859108850489516
202602,6,11,0.7297634348439617,0.08423031629596314,0.7857755133557692
202602,6,21,0.7297377133077877,0.08423031629596314,0.7857733440022908
202602,6,31,0.7297376193335136,0.08423031629596314,0.7857733440022908
202602,6,41,0.7297376193335136,0.08423031629596314,0.7857732477010527
202602,6,50,0.7297375172247704,0.08423031629596314,0.7857732477010527
202602,8,1,0.7279252418172302,0.0898261608410996,0.8048570991114307
202602,8,11,0.7278215020945248,0.0886106334225494,0.8046876427206175
202602,8,21,0.7278212372719521,0.0886106334225494,0.8046876427206175
202602,8,31,0.7278149662012524,0.0886106334225494,0.8046856807009996
202602,8,41,0.7278121274655996,0.0886106334225494,0.8046856807009996
202602,8,50,0.7278121274655996,0.0886106334225494,0.8046837144240592
202602,10,1,0.7204578380497467,0.09020482577691115,0.8064645994151373
202602,10,11,0.7202278809197346,0.08846360771333533,0.8064628480519043
202602,10,21,0.7202278809197346,0.08846360771333533,0.8064627152892652
202602,10,31,0.7202278809197346,0.08846360771333533,0.8064627152892652
202602,10,41,0.7202278809197346,0.08846360771333533,0.8064627152892652
202602,10,50,0.7202278809197346,0.08846360771333533,0.8064627152892652
202603,2,1,0.7385973131776565,0.07618076784660927,0.7791780617913269
202603,2,11,0.735787734388962,0.07604023865790893,0.7790228732018154
202603,2,21,0.7357873460590463,0.07603982144931098,0.7790228732018154
202603,2,31,0.7357866661520926,0.07603979266220146,0.7790228732018154
202603,2,41,0.7357866384529079,0.07603979266220146,0.7790228732018154
202603,2,50,0.7357866301054689,0.07603979266220146,0.7790228732018154
202603,4,1,0.7311836851218866,0.08191644404130813,0.7721668103988646
202603,4,11,0.7305915513665265,0.0803730898653527,0.7718499327474801
202603,4,21,0.730586354966827,0.0803730898653527,0.771820954449366
202603,4,31,0.7305861845418009,0.0803730898653527,0.771787849305831
202603,4,41,0.730586146474951,0.0803730898653527,0.7717876958108485
202603,4,50,0.7305861440737809,0.0803730898653527,0.7717871478664611
202603,6,1,0.7300258274503899,0.08962097150155109,0.7871990714960196
202603,6,11,0.7297418313271612,0.08423031629596314,0.7857808204274865
202603,6,21,0.7297384989770311,0.08423031629596314,0.7857808204274865
202603,6,31,0.7297372646468545,0.08423031629596314,0.7857735082849887
202603,6,41,0.7297372646468545,0.08423031629596314,0.7857735082849887
202603,6,50,0.729737093587923,0.08423031629596314,0.7857729088277843
202603,8,1,0.7295946358643416,0.09139176842495148,0.804703744308626
202603,8,11,0.7278197876477825,0.0886106334225494,0.8046861069358133
202603,8,21,0.7278114406758077,0.0886106334225494,0.8046852287236058
