a,b,N,R,P,U
0.20900000000000002,4.5,2.0,0.7596787094593891,0.07644368890982531,0.7797897717958643
0.20950000000000002,4.5,2.0,0.7596795472438675,0.0764245252981284,0.7797376657668443
0.21000000000000002,4.5,2.0,0.7596809558216157,0.07640576736988529,0.7796872769000387
0.21050000000000002,4.5,2.0,0.7596829397972398,0.0763874198185267,0.7796386183167734
0.21100000000000002,4.5,2.0,0.7596855037753467,0.07636948733748344,0.7795917031383747
0.21150000000000002,4.5,2.0,0.7596886523605432,0.07635197462018631,0.7795465444861683
0.21200000000000002,4.5,2.0,0.7596923901574357,0.07633488636006605,0.7795031554814807
0.21250000000000002,4.5,2.0,0.7596967217706311,0.0763182272505535,0.7794615492456377
0.21300000000000002,4.5,2.0,0.7597016518047358,0.07630200198507939,0.7794217388999655
0.21350000000000002,4.5,2.0,0.7597071848643566,0.07628621525707452,0.7793837375657899
0.21400000000000002,4.5,2.0,0.7597133255541001,0.07627087175996969,0.7793475583644374
0.21450000000000002,4.5,2.0,0.7597200784785729,0.07625597618719565,0.7793132144172337
0.21500000000000002,4.5,2.0,0.7597274482423818,0.07624153323218322,0.779280718845505
0.21550000000000002,4.5,2.0,0.7597354394501333,0.07622754758836314,0.7792500847705774
0.21600000000000003,4.5,2.0,0.7597440567064342,0.07621402394916624,0.779221325313777
0.21650000000000003,4.5,2.0,0.7597533046158911,0.07620096700802326,0.7791944535964297
0.21700000000000003,4.5,2.0,0.7597631877831105,0.07618838145836501,0.7791694827398616
0.21750000000000003,4.5,2.0,0.7597737108126992,0.07617627199362226,0.7791464258653991
0.21800000000000003,4.5,2.0,0.7597848783092638,0.0761646433072258,0.7791252960943678
0.21850000000000003,4.5,2.0,0.7597966948774109,0.07615350009260641,0.7791061065480941
0.21900000000000003,4.5,2.0,0.7598091651217473,0.07614284704319485,0.7790888703479039
0.21950000000000003,4.5,2.0,0.7598222936468795,0.07613268885242194,0.7790736006151232
0.22,4.5,2.0,0.7598360850574143,0.07612303021371844,0.7790603104710784
0.2205,4.5,2.0,0.7598505439579581,0.07611387582051515,0.7790490130370952
0.221,4.5,2.0,0.759865674953118,0.07610523036624284,0.7790397214344998
0.2215,4.5,2.0,0.7598814826475001,0.07609709854433228,0.7790324487846183
0.222,4.5,2.0,0.7598979716457115,0.07608948504821428,0.7790272082087768
0.2225,4.5,2.0,0.7599151465523585,0.0760823945713196,0.7790240128283014
0.223,4.5,2.0,0.759933011972048,0.07607583180707903,0.7790228757645179
0.2235,4.5,2.0,0.7599515725093866,0.07606980144892336,0.7790238101387527
0.224,4.5,2.0,0.7599708327689808,0.07606430819028334,0.7790268290723317
0.2245,4.5,2.0,0.7599907973554375,0.07605935672458983,0.7790319456865809
0.225,4.5,2.0,0.7600114708733631,0.07605495174527352,0.7790391731028266
0.2255,4.5,2.0,0.7600328579273644,0.07605109794576526,0.7790485244423946
0.226,4.5,2.0,0.7600549631220481,0.07604780001949576,0.7790600128266111
0.2265,4.5,2.0,0.7600777910620207,0.0760450626598959,0.7790736513768022
0.227,4.5,2.0,0.7601013463518889,0.0760428905603964,0.7790894532142939
