a,b,N,S1-A,S1-B,S2-A,S2-B,S3-A,S3-B,max_model_regret,mean_model_regret
0.105,3.0375,2.0,1.6314637135913108,2.306122523985689,1.8242631869208537,2.4516810009893937,2.090295782068465,2.6619484978507044,1.198078111717645,0.9232124553634101
0.105,3.0375,4.0,1.5011440641207576,1.9468439170895178,1.5929412517973869,2.089523176850967,1.8413797450479494,2.2956252281552993,0.8359202875792182,0.6401595683059871
0.105,3.0375,6.0,1.520759314017913,2.1514971689188145,1.6862183539870346,2.295950550245764,1.954129473290593,2.504132880799451,1.0423476609740152,0.7810312946722692
0.105,3.0375,8.0,1.7404045438458415,2.436792546982965,1.9483942690829525,2.5837176571480334,2.2085286082281046,2.794487917644479,1.3301147678762846,1.04763759495107
0.105,3.0375,10.0,1.6275960745009175,2.3193409264064546,1.8341405902965813,2.4653825378725425,2.0924080026407554,2.6737068005516966,1.2117796486007937,0.9310124931738321
0.105,3.15625,2.0,1.639985842772004,2.0773577254151543,1.729128693344756,2.2225490961298955,1.9768027755045534,2.431269610749928,0.9689462068581467,0.7750989617817226
0.105,3.15625,4.0,1.5197612276269004,1.7247709677466978,1.6052988124288723,1.8673680036023763,1.8338691137179892,2.0717009646952196,0.6137651143306275,0.5327115194320167
0.105,3.15625,6.0,1.5180896091283957,1.9329696496848245,1.603995139559215,2.0774956356127605,1.8465165964289092,2.2835913718114997,0.8238927463410117,0.6393596714999416
0.105,3.15625,8.0,1.535628299845829,2.218380589642186,1.7345194929465497,2.36539655274805,2.00063534081845,2.57398941676048,1.1117936634763013,0.8336749532559314
0.105,3.15625,10.0,1.4085752283579802,2.0977073424941226,1.6155082168867112,2.24368926006047,1.8757113226864672,2.450071634145359,0.9900863707887211,0.7107938385675258
0.105,3.275,2.0,1.6991102115772772,1.9089842720532089,1.7845718106414934,2.0537490980839705,2.0150954077748637,2.2602659494940784,0.8001462088122218,0.7158794627331563
0.105,3.275,4.0,1.5520758673265502,1.5820513244319494,1.6374571127156774,1.7101566065067368,1.8663740002394182,1.911570236377501,0.5848283686398336,0.4721975290619796
0.105,3.275,6.0,1.5397978862964754,1.7781885830178874,1.6251791986670117,1.9218426135781739,1.8541508834646807,2.1260614140536562,0.6682397243064251,0.5697867676419882
0.105,3.275,8.0,1.5256137838798505,2.065560088083849,1.6326336256787022,2.21156516675899,1.8999680114129838,2.4183177045585587,0.9579622774872412,0.7211930678578299
0.105,3.275,10.0,1.3730348336196259,1.9431668158350326,1.4954343615616195,2.0881884607469043,1.7641056634988108,2.2928720786848014,0.8345855714751556,0.5883837067868066
0.105,3.39375,2.0,1.7656361067618904,1.8043811285664204,1.8511905482948459,1.937889785922772,2.082488028269048,2.1419702189756564,0.7983886080751738,0.6928426405941129
